Book title;Book descriptions
Evolve Resources for Illustrated Study Guide for the NCLEXPN Exam;Student Resources on Evolve   More than 2000 NCLEXPN examstyle review questions NEW 1520 Next Generation NCLEXstyle practice questions Ability to answer questions in Study Mode and Exam Mode Option to select questions from specific content areas Alternate item format review questions for the current NCLEX and Next Generation NCLEXPN examination including multiple response fillintheblank chartexhibit ordered response graphic option hot spot audio and video
Computer Architecture;Once in a great while a landmark computerscience book is published Computer Architecture A Quantitative Approach Second Edition is such a book In an era of fluff computer books that are quite properly remaindered within weeks of publication this book will stand the test of time becoming lovingly dogeared in the hands of anyone who designs computers or has concerns about the performance of computer programs  Robert Bernecky Dr Dobbs Journal April 1998Computer Architecture A Quantitative Approach was the first book to focus on computer architecture as a modern science Its publication in 1990 inspired a new approach to studying and understanding computer design Now the second edition explores the next generation of architectures and design techniques with view to the futureA basis for modern computer architectureAs the authors explain in their preface to the Second Edition computer architecture itself has undergone significant change since 1990 Concentrating on currently predominant and emerging commercial systems the Hennessy and Patterson have prepared entirely new chapters covering additional advanced topics Advanced Pipelining A new chapter emphasizes superscalar and multiple issues Networks A new chapter examines in depth the design issues for small and large sharedmemory multiprocessors Storage Systems Expanded presentation includes coverage of IO performance measures Memory Expanded coverage of caches and memoryhierarchy design addresses contemporary design issues Examples and Exercises Completely revised on current architectures such as MIPS R4000 Intel 80x86 and Pentium PowerPC and HP PARISCDistinctive presentationThis book continues the style of the first edition with revised sections on Fallacies and Pitfalls Putting It All Together and Historical Perspective and contains entirely new sections on Crosscutting Issues The focus on fundamental techniques for designing real machines and the attention to maximizing costperformance are crucial to both students and working professionals Anyone involved in building computers from palmtops to supercomputers will profit from the expertise offered by Hennessy and Patterson
Travelers Vaccines;Travelers Vaccines provides authoritative information regarding travel vaccinations with contributions by international key opinion leaders   The text gives a clinical perspective on immunization theory and practice as well as examining emerging global trends in the epidemiology of vaccinepreventable diseases It highlights uptodate reviews on recommendations and controversies regarding travel vaccines Topics covered include the considerations of special atrisk groups of travelersbrbrTravelers Vaccines outlines standards for clinical practice guidelines approaches to vaccine safety vaccine development and future vaccines Also featured is a chapterbychapter review of the individual vaccines administered to travelers This book will be the premiere reference for detailed information on the development and clinical experience regarding vaccines for international travel
Power Management in Mobile Devices;Sealed Lead AcidNickel CadmiumLithium IonbrHow do you balance battery life with performance and costbrThis book shows you howbrbrNow that mobile has become the standard the consumer not only expects mobility but demands power longevity in wireless devices As more and more features computing power and memory are packed into mobile devices such as iPods cell phones and cameras there is a large and growing gap between what devices can do and the amount of energy engineers can deliver In fact the main limiting factor in many portable designs is not hardware or software but instead how much power can be delivered to the device This book describes various design approaches to reduce the amount of power a circuit consumes and techniques to effectively manage the available powerbrbrPower Management Advice OnbrLow Power Packaging TechniquesbrPower and Clock GatingbrEnergy Efficient CompilersbrVarious Display TechnologiesbrLinear vs Switched RegulatorsbrSoftware Techniques and Intelligent Algorithms
Computational Radon Transport Mechanisms;Computational Radon Transport Mechanisms considers various mathematical modeling techniques for understanding radon transport mechanisms across various mediums including soil concrete and water Clearly organized by types of problems including steady and unsteady states inverse problems and uncertainty the book provides clear solutions to understanding and analyzing radon transport mechanisms In addition the book considers recent advances that have proposed different analytical semianalytical and numerical techniques to handle differential equations that govern radon diffusionadvection As such this book considers various mathematical models of radon transport BRBRCovering various computational methods for modeling transport mechanisms in general and diffusion as well as advection equations in particular this resource provides researchers working in environmental science earth science physics chemistry applied mathematics and health with various analyticalnumerical computational methods for solving different models governing radon transport
Human Nutrition;Human Nutrition From Molecular Biology to Everyday Life presents an integrated approach on how nutrients and nonnutrients affect cellular biochemistry and how in turn they shape human physiology Over the course of 14 chapters and covering topics ranging from the importance of diet on health to nutrigenetics and nutrigenomics this book debunks myths and provides readers with the knowledge they need to critically interpret and navigate nutrition information Intended for nutritionists dieticians pharmacists public health professionals and others working in related fields this book provides a comprehensive source on advances in human nutrition
Lambs Questions and Answers on Marine Diesel Engines;Lambs Questions and Answers on the Marine Diesel Engine is a comprehensive reference book for Marine Engineers and all seekeing a working knowledge of the marine diesel engine This fully revised eighth edition has been completely rewritten New coverage includes superlongstroke and slowspeed engines and a new generation of mediumspeed engines burning lower quality fuels New purifier systems for fuel treatment and the testing of fuel and lubrication oils on board ship are also discussed
Practical Machinery Vibration Analysis and Predictive Maintenance;Machinery Vibration Analysis and Predictive Maintenance provides a detailed examination of the detection location and diagnosis of faults in rotating and reciprocating machinery using vibration analysis The basics and underlying physics of vibration signals are first examined The acquisition and processing of signals is then reviewed followed by a discussion of machinery fault diagnosis using vibration analysis Hereafter the important issue of rectifying faults that have been identified using vibration analysis is covered The book also covers the other techniques of predictive maintenance such as oil and particle analysis ultrasound and infrared thermography The latest approaches and equipment used together with the latest techniques in vibration analysis emerging from current research are also highlighted
Modern Physics;Modern Physics for Scientists and Engineers provides an introduction to the fundamental concepts of modern physics and to the various fields of contemporary physics The books main goal is to help prepare engineering students for the upper division courses on devices they will later take and to provide physics majors and engineering students an uptodate description of contemporary physics The book begins with a review of the basic properties of particles and waves from the vantage point of classical physics followed by an overview of the important ideas of new quantum theory It describes experiments that help characterize the ways in which radiation interacts with matter Later chapters deal with particular fields of modern physics These include includes an account of the ideas and the technical developments that led to the ruby and heliumneon lasers and a modern description of laser cooling and trapping of atoms The treatment of condensed matter physics is followed by two chapters devoted to semiconductors that conclude with a phenomenological description of the semiconductor laser Relativity and particle physics are then treated together followed by a discussion of Feynman diagrams and particle physics
Statistics in Spectroscopy;Statistics in Spectroscopy Second Edition is an expanded and updated version of the original title The aim of the book is to bridge the gap between the average chemistspectroscopist and the study of statistics The book introduces the novice reader to the ideas and concepts of statistics and uses spectroscopic examples to show how these concepts are applied Several key statistical concepts are introduced through the use of computer programs
